	IBM	Stock Price	Cash	Portfolio Value
2016-01-04	100	132.147757	0.0	13214.7757
2016-01-05	100	132.050563	0.0	13205.0563
2016-01-06	100	131.389573	0.0	13138.9573
2016-01-07	100	129.144181	0.0	12914.4181
2016-01-08	100	127.948586	0.0	12794.8586
2016-01-11	100	129.503829	0.0	12950.3829
2016-01-12	100	129.183056	0.0	12918.3056
2016-01-13	100	127.501445	0.0	12750.1445
2016-01-14	100	129.192786	0.0	12919.2786
2016-01-15	100	126.393329	0.0	12639.3329
2016-01-19	100	124.527029	0.0	12452.7029
2016-01-20	100	118.451829	0.0	11845.1829
2016-01-21	100	119.472465	0.0	11947.2465
2016-01-22	100	119.073929	0.0	11907.3929
2016-01-25	100	118.665677	0.0	11866.5677
2016-01-26	100	119.161408	0.0	11916.1408
2016-01-27	100	117.576998	0.0	11757.6998
2016-01-28	100	118.801761	0.0	11880.1761
2016-01-29	100	121.299883	0.0	12129.9883
2016-02-01	100	121.338765	0.0	12133.8765
2016-02-02	0	119.501625	11950.1625	11950.1625
2016-02-03	-100	121.231841	24073.3466	11950.1625
2016-02-04	-100	124.079895	24073.3466	11665.3571
2016-02-05	0	124.97417	11575.9296	11575.9296
2016-02-08	0	124.689397	11575.9296	11575.9296
2016-02-09	0	121.831888	11575.9296	11575.9296
2016-02-10	-100	118.021882	23378.1178	11575.9296
2016-02-11	-100	115.72409	23378.1178	11805.7088
2016-02-12	-100	118.856547	23378.1178	11492.4631
2016-02-16	0	120.525878	11325.53	11325.53
2016-02-17	0	123.825267	11325.53	11325.53
2016-02-18	100	130.060717	-1680.5417	11325.53
2016-02-19	100	130.679357	-1680.5417	11387.394
2016-02-22	100	131.356913	-1680.5417	11455.1496
2016-02-23	0	130.011616	11320.6199	11320.6199
2016-02-24	-100	130.40441	24361.0609	11320.6199
2016-02-25	-100	132.07374	24361.0609	11153.6869
2016-02-26	-100	129.648295	24361.0609	11396.2314
2016-02-29	0	128.666335	11494.4274	11494.4274
2016-03-01	-100	131.94608	24689.0354	11494.4274
2016-03-02	-100	133.841273	24689.0354	11304.9081
2016-03-03	-100	135.314214	24689.0354	11157.614
2016-03-04	-100	135.314214	24689.0354	11157.614
2016-03-07	-100	137.621813	24689.0354	10926.8541
2016-03-08	-100	136.561309	24689.0354	11032.9045
2016-03-09	-100	137.877133	24689.0354	10901.3221
2016-03-10	-100	137.6611	24689.0354	10922.9254
2016-03-11	-100	139.791953	24689.0354	10709.8401
2016-03-14	-100	140.204375	24689.0354	10668.5979
2016-03-15	-100	140.381136	24689.0354	10650.9218
2016-03-16	-100	142.178111	24689.0354	10471.2243
2016-03-17	-100	144.387523	24689.0354	10250.2831
2016-03-18	-100	144.436624	24689.0354	10245.373
2016-03-21	-100	145.948852	24689.0354	10094.1502
2016-03-22	-100	145.428414	24689.0354	10146.194
2016-03-23	0	142.777108	10411.3246	10411.3246
2016-03-24	-100	145.281111	24939.4357	10411.3246
2016-03-28	0	145.72299	10367.1367	10367.1367
2016-03-29	0	146.636222	10367.1367	10367.1367
2016-03-30	100	145.73282	-4206.1453	10367.1367
2016-03-31	100	148.717974	-4206.1453	10665.6521
2016-04-01	100	149.76868	-4206.1453	10770.7227
