	Cummulative Return
0	0.063083448885947302
1	0.12793819040573196
2	-0.1940397765351306
3	0.16484728769713719
4	0.35134685801914811
5	0.6191582702842735
6	0.81766753512880008
7	0.70181858585342471
8	0.76370311490475395
9	0.90810211428597598
10	0.92291533470895093
11	0.98689731070485043
12	1.1347598334279949
13	1.0771452946110571
14	1.0886337209174246
15	1.1056016762362009
16	1.2680765627288033
17	1.0968281451055857
18	1.2061165334305093
19	1.1633370991660961
20	1.1975527668222496
21	1.3375835250397783
22	1.2483235214590027
23	1.4045971359402469
24	1.4502269487046298
25	1.4111533200647957
26	1.417823220882688
27	1.4579008977927401
28	1.4594984392503174
29	1.4809527219083782
30	1.5241294339045677
31	1.5639079297951217
32	1.6332841674785068
33	1.6058802509243084
34	1.625534740174428
35	1.6418357068801472
36	1.6738904709596847
37	1.6750343500053657
38	1.6866232156539955
39	1.6652351288160063
40	1.6856363295350403
41	1.6697199507034259
42	1.6716507698293328
43	1.6856363295350403
44	1.6716507698293328
45	1.6866232156539955
46	1.6716507698293328
47	1.6866232156539955
48	1.670663883710378
49	1.6866232156539955
50	1.6716507698293328
51	1.6866232156539955
52	1.6716507698293328
53	1.6866232156539955
54	1.6716507698293328
55	1.6866232156539955
56	1.6716507698293328
57	1.6866232156539955
58	1.6716507698293328
59	1.6866232156539955
60	1.6716507698293328
61	1.6866232156539955
62	1.6716507698293328
63	1.6866232156539955
64	1.6716507698293328
65	1.6866232156539955
66	1.6716507698293328
67	1.6866232156539955
68	1.6716507698293328
69	1.6716507698293328
70	1.6866232156539955
71	1.6716507698293328
72	1.6716507698293328
73	1.6866232156539955
74	1.6716507698293328
75	1.6716507698293328
76	1.6716507698293328
77	1.6716507698293328
78	1.6716507698293328
79	1.6716507698293328
